start_date,end_date,category,start,stop,miles,purpose,route,month,duration,week name,month number,hours,time of day
2016-01-12 12:53:00,2016-01-12 13:09:00,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,Hudson Square ➝ Lower Manhattan,January,0 days 23:44:00,Tuesday,1,12,Afternoon
2016-01-12 14:42:00,2016-01-12 14:56:00,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,Lower Manhattan ➝ Hudson Square,January,0 days 23:46:00,Tuesday,1,14,Afternoon
2016-01-12 15:13:00,2016-01-12 15:28:00,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,Hudson Square ➝ Hell's Kitchen,January,0 days 23:45:00,Tuesday,1,15,Afternoon
2016-01-12 15:42:00,2016-01-12 15:54:00,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,Hell's Kitchen ➝ Midtown,January,0 days 23:48:00,Tuesday,1,15,Afternoon
2016-01-12 16:02:00,2016-01-12 17:00:00,Business,New York,Queens County,15.1,Meeting,New York ➝ Queens County,January,0 days 23:02:00,Tuesday,1,16,Afternoon
2016-01-13 13:54:00,2016-01-13 14:07:00,Business,Downtown,Gulfton,11.2,Meeting,Downtown ➝ Gulfton,January,0 days 23:47:00,Wednesday,1,13,Afternoon
2016-01-13 15:00:00,2016-01-13 15:28:00,Business,Gulfton,Downtown,11.8,Meeting,Gulfton ➝ Downtown,January,0 days 23:32:00,Wednesday,1,15,Afternoon
2016-01-14 16:29:00,2016-01-14 17:05:00,Business,Houston,Houston,21.9,Customer Visit,Houston ➝ Houston,January,0 days 23:24:00,Thursday,1,16,Afternoon
2016-01-14 21:39:00,2016-01-14 21:45:00,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,Eagan Park ➝ Jamestown Court,January,0 days 23:54:00,Thursday,1,21,Night
2016-01-15 00:41:00,2016-01-15 01:01:00,Business,Morrisville,Cary,8.0,Errand/Supplies,Morrisville ➝ Cary,January,0 days 23:40:00,Friday,1,0,Night
2016-01-15 11:43:00,2016-01-15 12:03:00,Business,Cary,Durham,10.4,Meal/Entertain,Cary ➝ Durham,January,0 days 23:40:00,Friday,1,11,Morning
2016-01-15 13:26:00,2016-01-15 13:44:00,Business,Durham,Cary,10.4,Meal/Entertain,Durham ➝ Cary,January,0 days 23:42:00,Friday,1,13,Afternoon
2016-01-18 14:55:00,2016-01-18 15:06:00,Business,Cary,Cary,4.8,Meal/Entertain,Cary ➝ Cary,January,0 days 23:49:00,Monday,1,14,Afternoon
2016-01-18 16:13:00,2016-01-18 16:24:00,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,Farmington Woods ➝ Whitebridge,January,0 days 23:49:00,Monday,1,16,Afternoon
2016-01-19 09:09:00,2016-01-19 09:23:00,Business,Whitebridge,Lake Wellingborough,7.2,,Whitebridge ➝ Lake Wellingborough,January,0 days 23:46:00,Tuesday,1,9,Morning
2016-01-19 10:55:00,2016-01-19 11:09:00,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,Lake Wellingborough ➝ Whitebridge,January,0 days 23:46:00,Tuesday,1,10,Morning
2016-01-20 10:36:00,2016-01-20 11:11:00,Business,Cary,Raleigh,17.1,Meeting,Cary ➝ Raleigh,January,0 days 23:25:00,Wednesday,1,10,Morning
2016-01-20 11:48:00,2016-01-20 12:19:00,Business,Fayetteville Street,Umstead,15.1,Meeting,Fayetteville Street ➝ Umstead,January,0 days 23:29:00,Wednesday,1,11,Morning
2016-01-20 13:25:00,2016-01-20 14:19:00,Business,Raleigh,Cary,40.2,Customer Visit,Raleigh ➝ Cary,January,0 days 23:06:00,Wednesday,1,13,Afternoon
2016-01-21 14:25:00,2016-01-21 14:29:00,Business,Cary,Cary,1.6,Errand/Supplies,Cary ➝ Cary,January,0 days 23:56:00,Thursday,1,14,Afternoon
2016-01-21 14:43:00,2016-01-21 14:51:00,Business,Cary,Cary,2.4,Meal/Entertain,Cary ➝ Cary,January,0 days 23:52:00,Thursday,1,14,Afternoon
2016-01-21 16:01:00,2016-01-21 16:06:00,Business,Cary,Cary,1.0,Meal/Entertain,Cary ➝ Cary,January,0 days 23:55:00,Thursday,1,16,Afternoon
2016-01-26 10:41:00,2016-01-26 10:50:00,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,Whitebridge ➝ Hazelwood,January,0 days 23:51:00,Tuesday,1,10,Morning
2016-01-26 12:33:00,2016-01-26 12:41:00,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,Hazelwood ➝ Whitebridge,January,0 days 23:52:00,Tuesday,1,12,Afternoon
2016-01-26 16:24:00,2016-01-26 16:32:00,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,Whitebridge ➝ Westpark Place,January,0 days 23:52:00,Tuesday,1,16,Afternoon
2016-01-26 17:17:00,2016-01-26 17:22:00,Business,Cary,Cary,1.4,Errand/Supplies,Cary ➝ Cary,January,0 days 23:55:00,Tuesday,1,17,Evening
2016-01-26 17:27:00,2016-01-26 17:29:00,Business,Cary,Cary,0.5,Errand/Supplies,Cary ➝ Cary,January,0 days 23:58:00,Tuesday,1,17,Evening
2016-01-27 09:24:00,2016-01-27 09:31:00,Business,Cary,Cary,1.8,Meeting,Cary ➝ Cary,January,0 days 23:53:00,Wednesday,1,9,Morning
2016-01-27 10:19:00,2016-01-27 10:48:00,Business,Cary,Raleigh,18.7,Customer Visit,Cary ➝ Raleigh,January,0 days 23:31:00,Wednesday,1,10,Morning
2016-01-27 12:34:00,2016-01-27 12:44:00,Business,Fairmont,Meredith Townes,3.4,Customer Visit,Fairmont ➝ Meredith Townes,January,0 days 23:50:00,Wednesday,1,12,Afternoon
2016-01-27 14:05:00,2016-01-27 14:13:00,Business,Raleigh,Raleigh,2.7,Customer Visit,Raleigh ➝ Raleigh,January,0 days 23:52:00,Wednesday,1,14,Afternoon
2016-01-27 14:46:00,2016-01-27 15:08:00,Business,Raleigh,Cary,12.9,Customer Visit,Raleigh ➝ Cary,January,0 days 23:38:00,Wednesday,1,14,Afternoon
2016-01-28 12:28:00,2016-01-28 13:00:00,Business,Cary,Raleigh,19.0,Temporary Site,Cary ➝ Raleigh,January,0 days 23:28:00,Thursday,1,12,Afternoon
2016-01-28 15:11:00,2016-01-28 15:31:00,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,Meredith Townes ➝ Leesville Hollow,January,0 days 23:40:00,Thursday,1,15,Afternoon
2016-01-28 16:21:00,2016-01-28 16:51:00,Business,Raleigh,Cary,15.7,Meeting,Raleigh ➝ Cary,January,0 days 23:30:00,Thursday,1,16,Afternoon
2016-01-29 09:31:00,2016-01-29 09:45:00,Business,Cary,Cary,4.6,Customer Visit,Cary ➝ Cary,January,0 days 23:46:00,Friday,1,9,Morning
2016-01-29 10:56:00,2016-01-29 11:07:00,Business,Cary,Cary,5.2,Meeting,Cary ➝ Cary,January,0 days 23:49:00,Friday,1,10,Morning
2016-01-29 11:43:00,2016-01-29 12:03:00,Business,Cary,Durham,10.4,Meeting,Cary ➝ Durham,January,0 days 23:40:00,Friday,1,11,Morning
2016-01-29 13:24:00,2016-01-29 13:47:00,Business,Durham,Cary,10.1,Meeting,Durham ➝ Cary,January,0 days 23:37:00,Friday,1,13,Afternoon
2016-01-29 18:31:00,2016-01-29 18:52:00,Business,Cary,Apex,5.8,Errand/Supplies,Cary ➝ Apex,January,0 days 23:39:00,Friday,1,18,Evening
2016-01-29 21:21:00,2016-01-29 21:40:00,Business,Apex,Cary,5.5,Meal/Entertain,Apex ➝ Cary,January,0 days 23:41:00,Friday,1,21,Night
2016-01-30 16:21:00,2016-01-30 16:33:00,Business,Cary,Apex,5.7,Errand/Supplies,Cary ➝ Apex,January,0 days 23:48:00,Saturday,1,16,Afternoon
2016-01-30 18:09:00,2016-01-30 18:24:00,Business,Apex,Cary,5.7,Customer Visit,Apex ➝ Cary,January,0 days 23:45:00,Saturday,1,18,Evening
2016-02-01 10:35:00,2016-02-01 11:15:00,Business,Cary,Chapel Hill,19.4,Customer Visit,Cary ➝ Chapel Hill,February,0 days 23:20:00,Monday,2,10,Morning
2016-02-01 12:10:00,2016-02-01 12:43:00,Business,Chapel Hill,Cary,23.3,Customer Visit,Chapel Hill ➝ Cary,February,0 days 23:27:00,Monday,2,12,Afternoon
2016-02-01 12:56:00,2016-02-01 13:07:00,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,Northwoods ➝ Whitebridge,February,0 days 23:49:00,Monday,2,12,Afternoon
2016-02-02 13:04:00,2016-02-02 13:23:00,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,Whitebridge ➝ Williamsburg Manor,February,0 days 23:41:00,Tuesday,2,13,Afternoon
2016-02-02 13:51:00,2016-02-02 14:06:00,Business,Cary,Cary,6.0,Errand/Supplies,Cary ➝ Cary,February,0 days 23:45:00,Tuesday,2,13,Afternoon
2016-02-02 14:38:00,2016-02-02 14:42:00,Business,Cary,Cary,1.6,Errand/Supplies,Cary ➝ Cary,February,0 days 23:56:00,Tuesday,2,14,Afternoon
2016-02-04 08:40:00,2016-02-04 09:01:00,Business,Cary,Morrisville,5.2,Errand/Supplies,Cary ➝ Morrisville,February,0 days 23:39:00,Thursday,2,8,Morning
2016-02-04 09:37:00,2016-02-04 10:09:00,Business,Morrisville,Cary,9.7,Meal/Entertain,Morrisville ➝ Cary,February,0 days 23:28:00,Thursday,2,9,Morning
2016-02-04 10:26:00,2016-02-04 10:32:00,Business,Cary,Cary,1.6,Meal/Entertain,Cary ➝ Cary,February,0 days 23:54:00,Thursday,2,10,Morning
2016-02-04 15:59:00,2016-02-04 16:03:00,Business,Cary,Cary,1.1,Meal/Entertain,Cary ➝ Cary,February,0 days 23:56:00,Thursday,2,15,Afternoon
2016-02-04 16:35:00,2016-02-04 16:39:00,Business,Cary,Cary,1.6,Meal/Entertain,Cary ➝ Cary,February,0 days 23:56:00,Thursday,2,16,Afternoon
2016-02-04 18:04:00,2016-02-04 18:31:00,Business,Whitebridge,Macgregor Downs,9.0,Meeting,Whitebridge ➝ Macgregor Downs,February,0 days 23:33:00,Thursday,2,18,Evening
2016-02-04 20:36:00,2016-02-04 20:55:00,Business,Cary,Cary,7.7,Meeting,Cary ➝ Cary,February,0 days 23:41:00,Thursday,2,20,Evening
2016-02-05 11:47:00,2016-02-05 12:07:00,Business,Cary,Durham,10.4,Meeting,Cary ➝ Durham,February,0 days 23:40:00,Friday,2,11,Morning
2016-02-05 13:22:00,2016-02-05 13:41:00,Business,Durham,Cary,10.4,Meeting,Durham ➝ Cary,February,0 days 23:41:00,Friday,2,13,Afternoon
2016-02-06 16:20:00,2016-02-06 16:53:00,Business,Cary,Raleigh,11.4,Between Offices,Cary ➝ Raleigh,February,0 days 23:27:00,Saturday,2,16,Afternoon
2016-02-06 18:57:00,2016-02-06 19:21:00,Business,Raleigh,Cary,9.0,Errand/Supplies,Raleigh ➝ Cary,February,0 days 23:36:00,Saturday,2,18,Evening
2016-02-06 19:28:00,2016-02-06 19:37:00,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,Edgehill Farms ➝ Whitebridge,February,0 days 23:51:00,Saturday,2,19,Evening
2016-02-07 16:49:00,2016-02-07 17:01:00,Business,Cary,Apex,5.6,Errand/Supplies,Cary ➝ Apex,February,0 days 23:48:00,Sunday,2,16,Afternoon
2016-02-07 18:03:00,2016-02-07 18:17:00,Business,Apex,Cary,5.7,Customer Visit,Apex ➝ Cary,February,0 days 23:46:00,Sunday,2,18,Evening
2016-02-07 18:39:00,2016-02-07 18:53:00,Business,Cary,Morrisville,6.1,Temporary Site,Cary ➝ Morrisville,February,0 days 23:46:00,Sunday,2,18,Evening
2016-02-07 20:22:00,2016-02-07 20:40:00,Business,Morrisville,Cary,6.1,Meeting,Morrisville ➝ Cary,February,0 days 23:42:00,Sunday,2,20,Evening
2016-02-08 12:57:00,2016-02-08 13:08:00,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,Whitebridge ➝ Edgehill Farms,February,0 days 23:49:00,Monday,2,12,Afternoon
2016-02-08 14:00:00,2016-02-08 14:10:00,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,Edgehill Farms ➝ Whitebridge,February,0 days 23:50:00,Monday,2,14,Afternoon
2016-02-09 10:54:00,2016-02-09 11:07:00,Personal,Whitebridge,Northwoods,5.3,,Whitebridge ➝ Northwoods,February,0 days 23:47:00,Tuesday,2,10,Morning
2016-02-09 11:43:00,2016-02-09 11:50:00,Personal,Northwoods,Tanglewood,3.0,,Northwoods ➝ Tanglewood,February,0 days 23:53:00,Tuesday,2,11,Morning
2016-02-09 13:36:00,2016-02-09 13:52:00,Personal,Tanglewood,Preston,5.1,,Tanglewood ➝ Preston,February,0 days 23:44:00,Tuesday,2,13,Afternoon
2016-02-09 13:58:00,2016-02-09 14:02:00,Personal,Preston,Whitebridge,1.5,,Preston ➝ Whitebridge,February,0 days 23:56:00,Tuesday,2,13,Afternoon
2016-02-09 18:55:00,2016-02-09 19:11:00,Business,Cary,Morrisville,6.1,,Cary ➝ Morrisville,February,0 days 23:44:00,Tuesday,2,18,Evening
2016-02-09 20:24:00,2016-02-09 20:40:00,Business,Morrisville,Cary,6.1,Meal/Entertain,Morrisville ➝ Cary,February,0 days 23:44:00,Tuesday,2,20,Evening
2016-02-11 16:28:00,2016-02-11 17:10:00,Business,Cary,Raleigh,17.3,Meal/Entertain,Cary ➝ Raleigh,February,0 days 23:18:00,Thursday,2,16,Afternoon
2016-02-11 17:49:00,2016-02-11 18:10:00,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,Eastgate ➝ Walnut Terrace,February,0 days 23:39:00,Thursday,2,17,Evening
2016-02-11 18:24:00,2016-02-11 18:46:00,Business,Raleigh,Morrisville,13.5,Temporary Site,Raleigh ➝ Morrisville,February,0 days 23:38:00,Thursday,2,18,Evening
2016-02-11 20:36:00,2016-02-11 20:51:00,Business,Morrisville,Cary,6.1,Temporary Site,Morrisville ➝ Cary,February,0 days 23:45:00,Thursday,2,20,Evening
2016-02-12 08:21:00,2016-02-12 08:42:00,Business,Cary,Durham,8.5,Temporary Site,Cary ➝ Durham,February,0 days 23:39:00,Friday,2,8,Morning
2016-02-12 10:45:00,2016-02-12 10:52:00,Business,Durham,Morrisville,2.6,Temporary Site,Durham ➝ Morrisville,February,0 days 23:53:00,Friday,2,10,Morning
2016-02-12 11:14:00,2016-02-12 11:35:00,Business,Morrisville,Raleigh,17.0,Customer Visit,Morrisville ➝ Raleigh,February,0 days 23:39:00,Friday,2,11,Morning
2016-02-12 13:02:00,2016-02-12 13:36:00,Business,Raleigh,Cary,18.0,Meeting,Raleigh ➝ Cary,February,0 days 23:26:00,Friday,2,13,Afternoon
2016-02-12 14:49:00,2016-02-12 15:06:00,Business,Cary,Morrisville,8.4,Meeting,Cary ➝ Morrisville,February,0 days 23:43:00,Friday,2,14,Afternoon
2016-02-12 15:33:00,2016-02-12 16:06:00,Business,Morrisville,Cary,11.5,Customer Visit,Morrisville ➝ Cary,February,0 days 23:27:00,Friday,2,15,Afternoon
2016-02-13 14:21:00,2016-02-13 14:41:00,Business,Cary,Morrisville,8.9,Meeting,Cary ➝ Morrisville,February,0 days 23:40:00,Saturday,2,14,Afternoon
2016-02-13 23:45:00,2016-02-14 00:01:00,Personal,East Elmhurst,Jackson Heights,2.7,,East Elmhurst ➝ Jackson Heights,February,0 days 23:44:00,Saturday,2,23,Night
2016-02-14 00:50:00,2016-02-14 01:00:00,Personal,Jackson Heights,East Elmhurst,1.8,,Jackson Heights ➝ East Elmhurst,February,0 days 23:50:00,Sunday,2,0,Night
2016-02-14 14:07:00,2016-02-14 14:40:00,Business,East Elmhurst,New York,8.1,Meeting,East Elmhurst ➝ New York,February,0 days 23:27:00,Sunday,2,14,Afternoon
2016-02-14 14:46:00,2016-02-14 15:03:00,Business,Midtown,Midtown West,2.0,Meeting,Midtown ➝ Midtown West,February,0 days 23:43:00,Sunday,2,14,Afternoon
2016-02-14 16:35:00,2016-02-14 17:02:00,Business,New York,Long Island City,13.0,Meeting,New York ➝ Long Island City,February,0 days 23:33:00,Sunday,2,16,Afternoon
2016-02-14 17:06:00,2016-02-14 17:29:00,Business,Long Island City,Jamaica,13.9,Meeting,Long Island City ➝ Jamaica,February,0 days 23:37:00,Sunday,2,17,Evening
2016-02-16 10:31:00,2016-02-16 10:41:00,Business,Colombo,Colombo,2.6,,Colombo ➝ Colombo,February,0 days 23:50:00,Tuesday,2,10,Morning
2016-02-16 11:32:00,2016-02-16 12:02:00,Business,Colombo,Colombo,4.5,,Colombo ➝ Colombo,February,0 days 23:30:00,Tuesday,2,11,Morning
2016-02-16 12:39:00,2016-02-16 12:42:00,Business,Colombo,Colombo,1.7,,Colombo ➝ Colombo,February,0 days 23:57:00,Tuesday,2,12,Afternoon
2016-02-16 13:43:00,2016-02-16 13:55:00,Business,Colombo,Colombo,1.8,Temporary Site,Colombo ➝ Colombo,February,0 days 23:48:00,Tuesday,2,13,Afternoon
2016-02-16 16:34:00,2016-02-16 17:10:00,Business,Colombo,Colombo,6.0,,Colombo ➝ Colombo,February,0 days 23:24:00,Tuesday,2,16,Afternoon
2016-02-16 17:17:00,2016-02-16 17:26:00,Business,Colombo,Nugegoda,1.1,Meal/Entertain,Colombo ➝ Nugegoda,February,0 days 23:51:00,Tuesday,2,17,Evening
2016-02-17 15:17:00,2016-02-17 15:22:00,Business,Colombo,Colombo,1.7,Meal/Entertain,Colombo ➝ Colombo,February,0 days 23:55:00,Wednesday,2,15,Afternoon
2016-02-17 15:33:00,2016-02-17 16:17:00,Business,Colombo,Katunayaka,21.4,Temporary Site,Colombo ➝ Katunayaka,February,0 days 23:16:00,Wednesday,2,15,Afternoon
2016-02-17 16:38:00,2016-02-17 16:43:00,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,Katunayaka ➝ Katunayaka,February,0 days 23:55:00,Wednesday,2,16,Afternoon
2016-02-19 11:20:00,2016-02-19 11:26:00,Personal,Islamabad,Islamabad,1.5,,Islamabad ➝ Islamabad,February,0 days 23:54:00,Friday,2,11,Morning
2016-02-19 11:45:00,2016-02-19 11:50:00,Personal,Islamabad,Islamabad,1.0,,Islamabad ➝ Islamabad,February,0 days 23:55:00,Friday,2,11,Morning
2016-02-19 17:09:00,2016-02-19 17:20:00,Business,Islamabad,Islamabad,4.2,,Islamabad ➝ Islamabad,February,0 days 23:49:00,Friday,2,17,Evening
2016-02-20 10:48:00,2016-02-20 10:56:00,Personal,Islamabad,Islamabad,3.0,,Islamabad ➝ Islamabad,February,0 days 23:52:00,Saturday,2,10,Morning
2016-02-20 11:45:00,2016-02-20 11:53:00,Personal,Islamabad,Islamabad,1.5,,Islamabad ➝ Islamabad,February,0 days 23:52:00,Saturday,2,11,Morning
2016-02-20 12:41:00,2016-02-20 13:17:00,Business,Islamabad,R?walpindi,18.4,,Islamabad ➝ R?walpindi,February,0 days 23:24:00,Saturday,2,12,Afternoon
2016-02-20 14:50:00,2016-02-20 15:54:00,Business,R?walpindi,R?walpindi,23.1,Meeting,R?walpindi ➝ R?walpindi,February,0 days 22:56:00,Saturday,2,14,Afternoon
2016-02-21 11:47:00,2016-02-21 12:01:00,Business,Islamabad,Islamabad,4.6,Errand/Supplies,Islamabad ➝ Islamabad,February,0 days 23:46:00,Sunday,2,11,Morning
2016-02-21 15:14:00,2016-02-21 15:31:00,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,Islamabad ➝ Noorpur Shahan,February,0 days 23:43:00,Sunday,2,15,Afternoon
2016-02-22 21:54:00,2016-02-22 22:09:00,Business,Morrisville,Cary,8.1,Customer Visit,Morrisville ➝ Cary,February,0 days 23:45:00,Monday,2,21,Night
2016-02-24 14:30:00,2016-02-24 14:35:00,Business,Whitebridge,Preston,1.5,,Whitebridge ➝ Preston,February,0 days 23:55:00,Wednesday,2,14,Afternoon
2016-02-24 15:19:00,2016-02-24 15:25:00,Business,Preston,Whitebridge,1.7,Errand/Supplies,Preston ➝ Whitebridge,February,0 days 23:54:00,Wednesday,2,15,Afternoon
2016-02-25 16:27:00,2016-02-25 16:35:00,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,Whitebridge ➝ Heritage Pines,February,0 days 23:52:00,Thursday,2,16,Afternoon
2016-02-25 16:47:00,2016-02-25 17:02:00,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,Heritage Pines ➝ Whitebridge,February,0 days 23:45:00,Thursday,2,16,Afternoon
2016-02-25 17:16:00,2016-02-25 17:36:00,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,Whitebridge ➝ Tanglewood,February,0 days 23:40:00,Thursday,2,17,Evening
2016-02-25 18:22:00,2016-02-25 18:39:00,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,Tanglewood ➝ Whitebridge,February,0 days 23:43:00,Thursday,2,18,Evening
2016-02-26 09:06:00,2016-02-26 09:29:00,Business,Whitebridge,Westpark Place,6.3,,Whitebridge ➝ Westpark Place,February,0 days 23:37:00,Friday,2,9,Morning
2016-02-26 11:05:00,2016-02-26 11:11:00,Personal,Westpark Place,Whitebridge,1.7,,Westpark Place ➝ Whitebridge,February,0 days 23:54:00,Friday,2,11,Morning
2016-02-26 11:35:00,2016-02-26 11:59:00,Business,Cary,Durham,10.6,Meeting,Cary ➝ Durham,February,0 days 23:36:00,Friday,2,11,Morning
2016-02-26 13:01:00,2016-02-26 13:24:00,Business,Durham,Cary,9.9,Meeting,Durham ➝ Cary,February,0 days 23:37:00,Friday,2,13,Afternoon
2016-02-26 14:38:00,2016-02-26 14:46:00,Personal,Whitebridge,Westpark Place,1.9,,Whitebridge ➝ Westpark Place,February,0 days 23:52:00,Friday,2,14,Afternoon
2016-02-26 15:00:00,2016-02-26 15:18:00,Personal,Westpark Place,Hazelwood,4.2,,Westpark Place ➝ Hazelwood,February,0 days 23:42:00,Friday,2,15,Afternoon
2016-02-26 17:01:00,2016-02-26 17:12:00,Personal,Hazelwood,Whitebridge,2.0,,Hazelwood ➝ Whitebridge,February,0 days 23:49:00,Friday,2,17,Evening
2016-02-28 05:22:00,2016-02-28 05:38:00,Business,Whitebridge,Waverly Place,7.7,Meeting,Whitebridge ➝ Waverly Place,February,0 days 23:44:00,Sunday,2,5,Night
2016-02-28 09:26:00,2016-02-28 09:42:00,Business,Waverly Place,Whitebridge,6.8,Meeting,Waverly Place ➝ Whitebridge,February,0 days 23:44:00,Sunday,2,9,Morning
2016-02-29 11:07:00,2016-02-29 11:14:00,Personal,Whitebridge,Westpark Place,2.1,,Whitebridge ➝ Westpark Place,February,0 days 23:53:00,Monday,2,11,Morning
2016-02-29 11:30:00,2016-02-29 11:40:00,Business,Cary,Apex,3.8,Meeting,Cary ➝ Apex,February,0 days 23:50:00,Monday,2,11,Morning
2016-02-29 12:36:00,2016-02-29 12:48:00,Business,Apex,Cary,5.6,Meeting,Apex ➝ Cary,February,0 days 23:48:00,Monday,2,12,Afternoon
2016-02-29 14:55:00,2016-02-29 15:03:00,Business,Whitebridge,Hazelwood,2.6,,Whitebridge ➝ Hazelwood,February,0 days 23:52:00,Monday,2,14,Afternoon
2016-02-29 16:40:00,2016-02-29 17:00:00,Business,Hazelwood,Whitebridge,6.6,Customer Visit,Hazelwood ➝ Whitebridge,February,0 days 23:40:00,Monday,2,16,Afternoon
2016-03-01 18:47:00,2016-03-01 19:10:00,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,Whitebridge ➝ Wayne Ridge,March,0 days 23:37:00,Tuesday,3,18,Evening
2016-03-01 21:27:00,2016-03-01 21:45:00,Business,Wayne Ridge,Whitebridge,8.0,Meeting,Wayne Ridge ➝ Whitebridge,March,0 days 23:42:00,Tuesday,3,21,Night
2016-03-03 09:45:00,2016-03-03 09:52:00,Personal,Whitebridge,Westpark Place,2.2,,Whitebridge ➝ Westpark Place,March,0 days 23:53:00,Thursday,3,9,Morning
2016-03-03 11:04:00,2016-03-03 11:10:00,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,Westpark Place ➝ Whitebridge,March,0 days 23:54:00,Thursday,3,11,Morning
2016-03-03 14:44:00,2016-03-03 14:58:00,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,Whitebridge ➝ Northwoods,March,0 days 23:46:00,Thursday,3,14,Afternoon
